reference,tagged_entity,start_pos,topostext_id
3.4.4,Subur,199,414018USub
3.4.4,Rubricatum,220,415020URub
3.4.4,Pyrenees,375,426007LPyr
3.4.4,Pyrenees,431,426007LPyr
3.4.4,Barcino,517,414022UCol
3.4.4,Baetulo,545,415022UBae
3.4.4,Iluro,557,415024UIlu
3.4.4,Blandae,609,417027UBla
3.4.4,Emporiae,634,421031PEmp
3.4.4,Venus Pyrenaea,809,425031SAph
3.4.5,Tarraco,236,411013UTar
3.4.6,Caesar Augusta,0,416000UCAu
3.4.6,Iberus,52,407006WEbr
3.4.7,Carthage,39,376-09PCar
3.4.7,Accitana colony,96,373000UAcc
3.4.7,Libisosona,156,389000ULib
3.4.7,Salaria,260,379000USal
3.4.7,Latium,345,417129RLat
3.4.7,Segobriga,735,399000USeg
3.4.7,Celtiberia,760,403-29RCel
3.4.7,Toletum,781,399000UTol
3.4.7,Tagus,837,390-89WTag
3.4.8,Clunia,23,418000UCol
3.4.8,Juliobriga,656,430000UIul
3.4.8,Tritium,745,424000UTri
3.4.8,Virovesca,757,425000UVir
3.4.8,Segontia,844,416000USe2
3.4.8,Uxama,857,416000UUxa
3.4.8,Segovia,922,410-41USeg
3.4.8,Termes,948,413000UTer
3.4.8,Clunia,960,418000UCol
3.4.8,Celtiberia,991,403-29RCel
3.4.9,Asturica,147,425000UAst
3.4.10,Lucus,20,430000ULuc
3.4.12,Pyrenees,41,426007LPyr
3.4.12,Castulo,69,380000UCas
3.4.12,Tarraco,170,411013UTar
3.4.12,Pyrenees,238,426007LPyr
3.4.13,Baetica,145,372-56RBae
3.5.1,Italy,209,406163RIta
3.5.1,Varus,228,437072WVar
3.5.1,Alps,259,441073LAlp
3.5.1,Jura,394,463059LJur
3.5.1,Italy,616,406163RIta
3.5.1,Illiberis,793,426030UIll
3.5.1,Ruscino,862,427029URus
3.5.1,Pyrenees,950,426007LPyr
3.5.1,Narbo,1012,432030UNar
3.5.1,Agatha,1241,433035UAga
3.5.1,Rhoda,1358,423032PRho
3.5.1,Rhodanus,1438,437046WRho
